Min,Activity time,Total period,% Period,Period rank
55,42:54:1,821:6:25,5.224688217294743,3
00,42:33:55,817:13:50,5.208478499539433,3
20,41:59:40,832:2:45,5.047131150961569,3
30,41:42:34,831:31:0,5.016068362363285,3
05,41:20:12,815:57:22,5.066040452883835,3
45,41:14:47,831:45:26,4.958945685940676,3
35,41:10:14,837:40:41,4.914842317106048,3
50,41:7:0,826:4:23,4.9773644582820395,3
40,40:51:32,844:9:16,4.8402148632622515,3
10,40:35:51,824:4:52,4.926396134145372,3
15,40:9:21,827:20:2,4.853642993793316,3
25,39:47:56,823:23:10,4.83356330059814,3
