Min,Activity time,Total period,% Period,Period rank
10,4:36:56,824:4:52,0.5600851048912391,38
15,4:23:38,827:20:2,0.5310901617713123,40
40,4:11:1,844:9:16,0.4955978303075135,42
50,4:5:21,826:4:23,0.4950127157841501,43
20,4:3:28,832:2:45,0.48768680945393966,42
05,3:46:10,815:57:22,0.46196656819096343,43
55,3:45:24,821:6:25,0.4575124704624685,44
00,3:45:9,817:13:50,0.4591727480685105,44
35,3:39:43,837:40:41,0.43715415727535206,43
45,3:37:32,831:45:26,0.4358910819997555,46
30,3:33:13,831:31:0,0.42736498900937375,44
25,2:48:46,823:23:10,0.34161103033206375,51
