Y-M,Activity time,Total period,% Period,Period rank
2017-01,5:59:35,177:57:30,3.367673456645594,6
2017-02,5:14:51,154:8:57,3.4041702031041363,7
2016-09,3:48:25,168:28:42,2.259604762894009,8
2016-11,3:32:14,132:28:1,2.6702678445985475,10
2016-12,3:20:42,147:40:30,2.2651091924834943,10
2017-04,3:13:35,151:22:17,2.1314390470825066,15
2017-03,2:55:4,137:11:31,2.1267850598613864,10
2017-05,2:19:50,202:44:8,1.149554427771262,19
2016-08,1:48:5,160:49:39,1.1200751668022502,17
2018-06,1:46:7,86:6:22,2.0539902316908725,10
2018-08,1:24:40,180:54:49,0.7799916780415453,23
2018-05,1:10:28,157:22:21,0.7462831463212725,26
2016-10,1:7:11,190:43:53,0.5870676183638129,33
2017-11,1:2:31,112:3:24,0.9298370863947805,25
2018-03,1:1:29,147:40:48,0.6938801613097387,25
2018-01,0:55:43,79:51:57,1.1627138569197648,21
2017-12,0:45:38,93:49:5,0.8106707723282358,26
2018-07,0:41:41,123:58:15,0.5603916691874209,25
2017-06,0:40:29,28:42:11,2.350698241573197,13
2018-10,0:37:27,172:2:47,0.36278975147206743,35
2017-10,0:37:27,153:46:20,0.4059033924636006,32
2018-02,0:34:40,128:4:24,0.451130428747419,38
2018-09,0:28:37,132:50:25,0.3590360186104867,40
2018-04,0:26:26,178:19:33,0.24705088843300263,41
2017-07,0:14:18,62:38:54,0.38043044507701723,36
2018-11,0:11:29,131:25:54,0.14561855125392578,62
2017-09,0:10:15,138:21:2,0.1234786030654818,57
2017-08,0:5:43,112:56:2,0.08436597616107752,62
2016-07,0:1:6,129:9:0,0.014195380049038586,240
2018-12,0:0:25,128:5:11,0.0054216880534188085,211
2019-02,0:0:7,84:43:43,0.002294908908508539,257
2019-06,0:0:3,104:23:21,0.0007982948422170245,386
