Hour,Category time,Total period,% Period,Period rank,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS
21,124:13:57,887:52:29,13.992120384851592,2,microsoft word,93:44:31,Google Documents,14:42:43,texshop,7:34:44
22,118:19:30,974:50:8,12.137944633396858,2,microsoft word,93:55:44,Google Documents,8:44:28,texshop,8:1:15
20,110:42:2,772:7:9,14.337237091712598,2,microsoft word,85:43:59,Google Documents,10:16:51,texshop,6:37:18
23,91:15:25,893:45:39,10.21044344761633,2,microsoft word,71:46:3,texshop,8:3:25,Google Documents,7:32:39
19,71:10:25,605:18:5,11.758375648494667,2,microsoft word,53:22:54,Google Documents,7:7:23,texshop,4:55:18
13,60:46:1,507:31:50,11.97306128257193,1,microsoft word,46:55:1,Google Documents,6:21:23,TextEdit,1:54:0
15,58:22:13,600:28:13,9.720760533526269,2,microsoft word,43:30:34,Google Documents,8:5:55,texshop,1:53:34
16,58:20:45,617:12:53,9.453085163501086,3,microsoft word,42:55:27,Google Documents,7:29:36,texshop,2:35:59
14,56:11:32,571:37:27,9.830274067994365,2,microsoft word,41:53:51,Google Documents,7:6:13,texshop,1:44:40
00,55:47:17,654:16:43,8.52665127793418,4,microsoft word,39:0:29,texshop,8:46:9,Google Documents,6:25:13
11,54:12:8,437:35:59,12.386256085120916,1,microsoft word,41:28:10,Google Documents,5:42:19,texshop,1:27:47
12,51:46:0,381:54:58,13.55446003994478,1,microsoft word,44:51:14,Google Documents,3:13:18,texshop,0:58:40
10,49:49:15,285:17:5,17.463547625422944,1,microsoft word,43:23:31,Google Documents,2:28:40,sibelius 6,1:3:49
17,49:22:12,550:49:32,8.962910217592583,4,microsoft word,35:47:44,Google Documents,5:58:23,texshop,2:57:51
18,41:32:9,446:50:8,9.295552427937695,3,microsoft word,30:39:7,Google Documents,3:38:48,texshop,3:19:30
09,28:26:33,189:54:57,14.976371111764422,1,microsoft word,22:51:39,Google Documents,2:57:47,Hosted Google Docs,0:46:19
01,23:49:49,295:57:11,8.052046542666771,4,microsoft word,11:54:0,texshop,8:52:27,Google Documents,2:31:34
08,11:51:33,100:37:37,11.785279511507024,2,microsoft word,9:8:33,Hosted Google Docs,1:21:59,Google Documents,0:32:43
02,7:8:17,94:55:28,7.519723288697444,4,texshop,4:22:22,microsoft word,1:16:1,overleaf.com,0:56:51
07,2:31:41,17:5:12,14.795487059435557,2,microsoft word,2:1:24,Google Documents,0:26:36,Hosted Google Docs,0:3:3
03,1:31:19,25:18:35,6.013279920978983,6,texshop,0:57:7,microsoft word,0:28:30,overleaf.com,0:5:3
06,1:0:31,8:21:27,12.068335161365374,3,microsoft word,0:56:34,Hosted Google Docs,0:2:15,Google Documents - Google Apps,0:1:13
04,0:32:13,6:49:4,7.875651890482399,4,microsoft word,0:16:10,texshop,0:14:53,TextEdit,0:1:10
05,0:28:37,5:51:23,8.144002276715838,4,microsoft word,0:28:37,,0:0:0,,0:0:0
