Min,Category time,Total period,% Period,Period rank,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS
25,97:10:2,823:23:10,11.800930439681666,2,microsoft word,73:30:55,Google Documents,10:11:22,texshop,5:49:28
20,96:37:11,832:2:45,11.61230768203541,2,microsoft word,73:32:21,Google Documents,9:9:25,texshop,6:7:8
40,96:10:19,844:9:16,11.392695386178675,2,microsoft word,72:33:11,Google Documents,10:20:45,texshop,5:49:21
30,95:23:51,831:31:0,11.472710508909422,2,microsoft word,71:36:15,Google Documents,10:22:24,texshop,5:33:12
35,94:23:33,837:40:41,11.268350576212487,2,microsoft word,70:47:22,Google Documents,9:27:40,texshop,5:44:8
15,93:43:58,827:20:2,11.329498167137949,2,microsoft word,71:59:17,Google Documents,9:2:45,texshop,5:38:58
00,93:38:11,817:13:50,11.45776895544913,2,microsoft word,71:20:25,Google Documents,8:46:19,texshop,7:4:58
10,93:21:2,824:4:52,11.327835852188228,2,microsoft word,70:26:45,Google Documents,9:1:19,texshop,6:29:55
45,92:46:43,831:45:26,11.154530268247346,2,microsoft word,71:15:56,Google Documents,9:21:34,texshop,5:50:31
50,92:16:14,826:4:23,11.1697815265868,2,microsoft word,71:45:21,Google Documents,8:28:43,texshop,6:24:11
05,92:0:24,815:57:22,11.275933278001744,2,microsoft word,69:8:19,Google Documents,8:58:6,texshop,7:7:11
55,91:39:56,821:6:25,11.163656107862524,2,microsoft word,70:23:40,Google Documents,8:40:26,texshop,7:6:30
