Min,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
05,51434,14:17:14,Xcode,1:55:24,youtube.com,1:13:9,Terminal,1:5:24,0.6417642026674962
25,51331,14:15:31,Xcode,1:59:29,youtube.com,1:0:15,Terminal,0:59:32,0.6254845999493484
35,50673,14:4:33,Xcode,1:51:8,youtube.com,0:57:31,Slack,0:51:46,0.6716101276814083
40,50495,14:1:35,Xcode,1:59:13,youtube.com,1:2:42,Terminal,1:0:45,0.6864838102782453
15,50329,13:58:49,Xcode,1:50:12,Terminal,1:6:34,youtube.com,0:59:41,0.6567138230443681
00,50178,13:56:18,Xcode,1:57:21,youtube.com,1:10:54,Terminal,0:59:3,0.6616395631551676
30,49569,13:46:9,Xcode,1:45:42,Slack,1:4:4,youtube.com,0:53:23,0.6467651152938328
55,49289,13:41:29,Xcode,1:47:8,youtube.com,1:10:28,Terminal,1:9:50,0.6604009008095113
10,49194,13:39:54,Xcode,1:27:52,youtube.com,0:58:29,Slack,0:51:47,0.6581900231735578
45,48671,13:31:11,Xcode,1:46:58,youtube.com,0:59:0,Terminal,0:52:34,0.6574397485155431
20,48565,13:29:25,Xcode,1:43:58,youtube.com,1:3:10,Terminal,0:54:30,0.6464635025223927
50,47589,13:13:9,Xcode,1:49:29,Terminal,1:10:49,youtube.com,1:6:42,0.6538118052491122
