Month,Time Spent (seconds),H:M:S,Top Activity,Top HMS,2nd Activity,2nd HMS,3rd Activity,3rd HMS,Cum Prod
5,3696114,1026:41:54,youtube.com,110:51:22,adobe premiere pro cc 2015,110:12:45,microsoft word,102:14:5,0.6084462627505537
10,3525210,979:13:30,microsoft word,108:33:39,facebook.com,60:53:43,Mail,35:48:25,0.5999544707974844
4,3374486,937:21:26,microsoft word,75:48:15,youtube.com,67:58:33,Skype,39:47:55,0.609027271116253
3,3306148,918:22:28,microsoft word,91:2:0,Skype,50:11:4,youtube.com,41:16:48,0.6188451787397298
9,2972851,825:47:31,microsoft word,85:21:22,youtube.com,58:57:3,Mail,39:17:38,0.5851689169756573
1,2959995,822:13:15,youtube.com,71:56:16,microsoft word,71:42:12,Skype,58:26:38,0.5188959778648274
11,2939788,816:36:28,microsoft word,74:54:32,facebook.com,71:39:15,Skype,36:23:29,0.588022673743821
2,2865761,796:2:41,microsoft word,85:10:23,youtube.com,47:33:36,Skype,43:59:48,0.6125116504830654
12,2790018,775:0:18,microsoft word,59:2:19,facebook.com,48:14:43,Skype,47:43:17,0.5398838824695754
7,2767318,768:41:58,minecraft,60:56:5,google chrome,48:7:26,youtube.com,46:31:15,0.5122236584302924
8,2548627,707:57:7,youtube.com,80:37:56,microsoft word,55:26:42,Skype,27:56:45,0.5545278889378478
6,2010036,558:20:36,Skype,34:46:34,wechat,28:58:22,youtube.com,22:38:43,0.543465266293738
